[2026-09-21 20:40:35 UTC] Notification sent: Út 11:00 - 12:15 - Lezení na stěně (Roman Tomčík, Lezecká stěna Juliska) - 1 free spot(s)
[2026-09-21 20:40:35 UTC] Checked 22 classes, 1 free spot(s) total, NEW: 1
[2026-09-21 20:35:23 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 20:30:48 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 20:25:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 20:20:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 20:15:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 20:10:34 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 20:05:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 20:00:58 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:55:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:50:30 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:45:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:40:34 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:35:26 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:30:49 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:25:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:20:31 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:15:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:10:34 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:05:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 19:01:01 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:55:27 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:50:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:45:34 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:40:50 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:35:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:30:47 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:25:24 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:20:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:15:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:10:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:05:26 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 18:01:00 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:55:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:50:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:45:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:40:32 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:35:25 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:30:46 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:25:27 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:20:33 UTC] Checked 22 classes, 0 free spot(s) total
[2026-09-21 17:15:33 UTC] Checked 22 classes, 0 free spot(s) total
